id,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
6118,125,641.91,1581.92,1395.19,554.58,2388.02,47.27,522.27,2388.04,8.4366,393,39.02,23.369
6119,125,642.15,1584.97,1395.39,553.88,2388.05,47.36,521.71,2388.08,8.4048,392,38.89,23.4429
6120,125,641.83,1587.64,1406.81,553.29,2388.05,47.2,522.01,2388.1,8.415,391,38.96,23.2897
6121,125,642.49,1586.51,1396.68,554.41,2388.03,47.37,522.24,2388.1,8.391,392,39.14,23.3204
6122,125,641.98,1584.45,1409.15,553.53,2388.05,47.23,522.41,2388.06,8.3956,391,38.98,23.3574
6123,125,641.99,1589.04,1400.29,553.49,2388.07,47.48,522.23,2388.02,8.3697,390,38.94,23.3912
6124,125,642.42,1583.45,1399.62,554.28,2388.09,47.02,521.93,2388.03,8.3754,392,38.95,23.4372
6125,125,642.65,1582.21,1400.59,554.59,2388.1,47.3,522.01,2388.06,8.4594,393,38.83,23.4109
6126,125,642.11,1588.98,1398.78,554.84,2388.04,47.21,522.21,2388.03,8.4124,390,38.86,23.4624
6127,125,642.14,1588.97,1402.47,553.36,2388.03,47.42,522.32,2388.06,8.415,392,38.83,23.3403
6128,125,641.99,1586.04,1406.38,554.36,2388.06,47.31,522.26,2388.07,8.4066,391,39.14,23.4047
6129,125,641.99,1586.22,1392.1,553.9,2388.08,47.32,522.29,2388.09,8.4093,392,39.06,23.4074
6130,125,642.21,1585.35,1409.12,554.43,2388.05,47.43,521.9,2388.04,8.3809,391,38.98,23.3795
6131,125,642.75,1591.05,1400.09,553.84,2388.07,47.47,522.02,2388.07,8.419,389,38.87,23.3341
6132,125,642.13,1581.69,1400.53,553.51,2388.02,47.4,522.15,2388.02,8.4151,394,39.18,23.4411
6133,125,643.09,1591.69,1400.2,553.66,2388.05,47.35,521.35,2388.03,8.3905,393,39.04,23.4177
6134,125,642.2,1586.46,1398.43,553.68,2388.04,47.45,522.38,2388.07,8.4252,392,38.93,23.4201
6135,125,642.58,1590.16,1390.51,554.42,2388.06,47.4,522.33,2388.09,8.4369,391,38.82,23.3429
6136,125,642.15,1584.32,1400.38,554.16,2388.06,47.45,522.08,2388.08,8.4027,393,38.99,23.4202
6137,125,642.41,1586.89,1405.61,553.28,2388.04,47.34,522.05,2388.13,8.4221,392,39.01,23.4124
6138,125,642.45,1587.99,1396.95,555.01,2388.01,47.25,521.64,2388.08,8.3781,393,39.15,23.4656
6139,125,642.6,1590.62,1402.85,553.83,2388.07,47.32,521.9,2388.06,8.3774,391,38.97,23.4742
6140,125,641.88,1587.52,1406.56,554.23,2388.03,47.32,521.96,2388.04,8.3829,393,38.82,23.3523
6141,125,642.15,1583.98,1403.1,554.28,2388.07,47.15,522.35,2388.05,8.4162,391,38.95,23.4358
6142,125,642.58,1589.89,1399.37,554.37,2388.04,47.42,521.92,2388.0,8.4165,390,39.06,23.3347
6143,125,642.56,1588.06,1399.56,554.44,2388.07,47.32,522.37,2388.07,8.4336,392,39.0,23.3496
6144,125,642.16,1590.71,1400.21,554.55,2388.05,47.27,522.24,2388.03,8.4149,391,38.99,23.3228
6145,125,642.05,1584.63,1404.49,554.06,2388.02,47.41,522.05,2388.08,8.3807,392,38.86,23.364
6146,125,641.9,1587.15,1403.0,554.02,2388.05,47.18,522.31,2388.08,8.4425,391,38.9,23.4208
6147,125,642.38,1585.95,1398.08,554.41,2388.03,47.35,522.12,2388.04,8.3796,392,38.94,23.4164
6148,125,641.87,1586.56,1398.45,554.31,2388.06,47.4,522.25,2388.08,8.3775,391,38.98,23.4386
6149,125,642.12,1586.99,1404.9,554.21,2388.05,47.26,522.17,2388.06,8.4117,394,38.94,23.3536
6150,125,642.56,1586.25,1398.8,554.57,2388.05,47.34,521.91,2388.06,8.4316,391,38.94,23.3215
6151,125,642.22,1593.62,1409.82,554.09,2388.05,47.36,522.11,2388.02,8.4063,392,38.89,23.2883
6152,125,642.16,1584.79,1404.51,553.63,2388.02,47.37,522.27,2388.1,8.4093,391,39.11,23.3879
6153,125,642.28,1585.16,1404.84,554.01,2388.11,47.32,522.19,2388.02,8.4232,393,38.88,23.3188
6154,125,642.54,1590.64,1410.97,554.24,2388.04,47.22,522.38,2388.09,8.4377,393,38.89,23.408
6155,125,641.59,1590.75,1406.43,553.76,2388.0,47.57,522.06,2388.06,8.407,393,38.88,23.1948
6156,125,641.8,1586.62,1395.7,553.58,2388.03,47.43,522.27,2388.03,8.4037,393,39.23,23.2941
6157,125,642.79,1585.02,1403.26,553.99,2387.97,47.3,522.38,2388.03,8.4342,391,39.02,23.354
6158,125,641.5,1589.78,1407.3,554.27,2388.07,47.17,521.56,2388.06,8.413,391,38.9,23.4232
6159,125,642.28,1594.11,1401.03,553.66,2388.05,47.5,522.35,2388.04,8.4133,390,38.96,23.3649
6160,125,641.89,1584.09,1406.17,553.65,2388.07,47.23,521.95,2388.07,8.4132,392,38.97,23.3576
6161,125,642.04,1585.31,1395.91,554.5,2388.06,47.19,522.06,2388.13,8.4086,392,38.99,23.3602
6162,125,642.57,1584.25,1397.33,554.39,2388.06,47.3,521.96,2388.02,8.4057,392,39.01,23.3837
6163,125,642.14,1582.83,1398.02,553.9,2388.04,47.48,522.14,2388.05,8.4238,391,38.93,23.3424
6164,125,641.66,1579.03,1404.13,554.6,2388.06,47.35,522.11,2388.05,8.4166,391,38.85,23.336
6165,125,642.03,1587.9,1398.16,554.06,2388.06,47.29,522.28,2388.06,8.4173,392,39.0,23.2729
6166,125,642.22,1580.22,1401.62,553.16,2388.05,47.23,521.92,2388.05,8.4138,391,38.91,23.2955
6167,125,642.0,1585.65,1396.64,554.06,2388.06,47.54,522.17,2388.06,8.4036,392,38.99,23.2779
6168,125,642.43,1593.86,1399.71,554.12,2388.06,47.17,522.08,2388.05,8.3923,392,39.08,23.3521
6169,125,642.01,1585.06,1401.35,553.96,2388.09,47.41,521.88,2388.09,8.4074,392,39.16,23.3356
6170,125,642.15,1588.52,1404.05,554.48,2388.06,47.42,522.01,2388.05,8.4289,394,39.08,23.3571
6171,125,642.12,1591.73,1394.48,554.48,2388.08,47.48,521.46,2388.07,8.4254,393,39.0,23.3202
6172,125,642.48,1591.0,1397.03,553.76,2388.07,47.47,521.9,2388.09,8.4158,392,38.96,23.3229
6173,125,642.12,1584.25,1402.55,554.52,2388.01,47.2,522.47,2388.07,8.4324,392,38.97,23.2913
6174,125,642.26,1588.12,1402.38,554.1,2388.04,47.5,521.78,2388.03,8.4282,392,38.92,23.385
6175,125,642.69,1584.83,1402.53,554.3,2388.08,47.37,522.59,2388.11,8.4127,394,39.18,23.3638
6176,125,642.53,1584.89,1402.88,554.13,2388.05,47.29,521.57,2388.07,8.4365,392,39.07,23.2811
6177,125,642.84,1581.4,1407.08,553.86,2388.05,47.3,522.42,2388.07,8.414,392,39.08,23.321
6178,125,642.5,1597.92,1398.05,553.89,2388.08,47.25,521.95,2388.08,8.3933,392,39.01,23.2833
6179,125,642.46,1581.24,1399.92,554.27,2388.09,47.46,522.28,2388.06,8.4015,394,38.78,23.3545
6180,125,642.02,1583.03,1398.38,554.23,2388.11,47.34,521.77,2388.09,8.4534,393,38.97,23.3404
6181,125,642.64,1582.28,1407.17,553.85,2388.06,47.29,522.13,2388.01,8.4383,391,38.95,23.4257
6182,125,642.31,1585.96,1403.33,553.61,2388.04,47.24,521.77,2388.1,8.3879,392,39.02,23.2877
6183,125,641.9,1587.21,1395.82,553.07,2388.06,47.17,521.48,2388.04,8.4017,392,39.01,23.3802
6184,125,642.05,1593.23,1394.27,554.02,2388.09,47.25,522.18,2388.01,8.4304,393,39.08,23.3336
6185,125,641.79,1583.53,1401.42,554.74,2388.1,47.22,521.9,2388.06,8.4197,392,39.1,23.3807
6186,125,641.93,1590.09,1396.58,555.0,2388.06,47.2,521.7,2388.01,8.3986,393,38.98,23.2545
